demo_id,demo_title,row_kind,subject,path_or_artifact,scanner_signal,human_meaning,recommended_next_step,severity,exit_code,risk_rating,prod_impact_if_shipped,blast_radius,exec_one_liner,taxonomy_version,threat_model_doc,owasp_project_url,signal_light,exec_risk_score_1_to_5,recommended_decision,recommended_decision_explained,owasp_llm_primary,owasp_llm_secondary,owasp_touchpoints,risk_taxonomy_category,taxonomy_note,default_ci_blocks_release,compared_to_worst_case_loader_risk,decision_support_expert
01_baseline,"Baseline — permissive policy, no injected config risk",EXEC_SUMMARY,(entire bundle),,aggregate_exit_code=0; schema=hf_bundle_scanner.bundle_report.v2,Hub snapshot hf-internal-testing/tiny-random-BertModel scanned with policy policy.permissive.json (fixture in repo). Verdict for CI-style static gate: SHIP_OK_ON_STATIC_GATE.,"If HOLD: triage config_findings first, then per-file findings. If SHIP: still verify provenance, revision pin, and runtime controls outside this scanner.",,0,LOW (static admission gate),"If `hf-internal-testing/tiny-random-BertModel` reached production with the same loader posture as this scan, nothing in this **static** report blocks release: policy and empty driver lane raised no finding. That does **not** prove safety—only that this gate did not fire. Residual classes of prod risk still apply: prompt injection and toxic outputs, application data exfiltration, wrong revision or mirror substitution, and higher inherent risk for pickle-era formats such as `pytorch_model.bin` if an attacker could swap weights.","**Primary:** the serving/training fleet identity (cloud IAM, k8s service accounts) and any databases or APIs the app can reach while running this model. **Secondary:** customer trust, regulatory reporting if PII is processed, and SOC workload if behavior changes. **Not modeled here:** runtime guardrails, network egress policy, or human review of Hub revision history.",Static gate SHIP_OK_ON_STATIC_GATE for this snapshot — leadership should still budget runtime AI risk and supply-chain controls outside this JSON.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,GREEN,2,CONDITIONAL_GO,Proceed only if runtime + data controls are owned elsewhere.,LLM03,LLM04,LLM03 (Supply chain vulnerabilities); LLM04 (Data and model poisoning),supply_chain,Static gate only. OWASP LLM01/05/06/09 not evaluated by this bundle scan.,N/A (bundle rollup),Worst-case **static** loader signal in this repo’s **default** CI gate is `trust_remote_code` truthy (remote code class at load). Use the legend + per-row `default_ci_blocks_release` to separate **stop-the-line** items from **hygiene**.,"Read **YES** rows on `default_ci_blocks_release` first — those flip the bundle aggregate in default CI today. **NO** rows can still matter for audits and engineering backlog, but they are not the same incident class as remote code."
01_baseline,"Baseline — permissive policy, no injected config risk",WEIGHT_FILE,weight-like artifact gate,onnx/model.onnx,exit_code=0; findings=0,"This file was scanned; policy + configured drivers did not raise a finding (for this demo, drivers are empty).",Still treat formats like .bin as higher deserialization risk in real threat models.,OK,0,LOW–MEDIUM (residual supply chain),"`onnx/model.onnx` passed this static gate; prod risk is mostly **integrity and supply chain** (wrong revision, poisoned mirror) plus whatever your runtime allows the framework to do with that format.",Serving fleet and adjacent services that trust this artifact hash and revision pin.,No static blocker — confirm revision pinning and mirror policy.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,GREEN,2,ACCEPT_FORMAT_STATICALLY,No static hit on this file for current policy/drivers.,LLM03,,LLM03 (Supply chain vulnerabilities),artifact,Residual supply-chain / integrity focus for alternate frameworks.,NO (passed static gate in this demo),Not comparable to `trust_remote_code` directly — this row is about **artifact format choice** and supply-chain integrity for that format.,Keep revision pinning and mirror policy on the radar; escalate only if your runtime stack has known issues for this format class.
01_baseline,"Baseline — permissive policy, no injected config risk",WEIGHT_FILE,weight-like artifact gate,pytorch_model.bin,exit_code=0; findings=0,"This file was scanned; policy + configured drivers did not raise a finding (for this demo, drivers are empty).",Still treat formats like .bin as higher deserialization risk in real threat models.,OK,0,MEDIUM (residual format risk),"`pytorch_model.bin` is a **pickle deserialization surface** in many stacks. With **benign** test weights the practical incident rate is low, but with **swapped** or **attacker-supplied** weights it becomes a classic high-impact deserialization bug class. Static scan did not prove malicious content here.",The inference/training process that deserializes this file; expands if weights live on shared storage or multi-tenant caches.,No static finding — leadership should still ask whether **.bin** is acceptable in **your** prod threat model.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,AMBER,3,WATCH_DESERIALIZATION,No static hit; treat `.bin` as higher inherent risk in threat model.,LLM03,LLM04,LLM03 (Supply chain vulnerabilities); LLM04 (Data and model poisoning),artifact,Pickle-era `.bin` weight surface — not a verdict of malicious content.,NO (passed static gate in this demo),"Not a config flag. Residual concern is **pickle deserialization class** if weights are ever swapped — different from `trust_remote_code`, but still material in strict threat models.","If leadership only skims one thing on `.bin`: ask whether your org allows pickle-era weights in prod **at all**; if not, plan conversion to safetensors even when static policy is permissive."
01_baseline,"Baseline — permissive policy, no injected config risk",WEIGHT_FILE,weight-like artifact gate,tf_model.h5,exit_code=0; findings=0,"This file was scanned; policy + configured drivers did not raise a finding (for this demo, drivers are empty).",Still treat formats like .bin as higher deserialization risk in real threat models.,OK,0,LOW–MEDIUM (residual supply chain),"`tf_model.h5` passed this static gate; prod risk is mostly **integrity and supply chain** (wrong revision, poisoned mirror) plus whatever your runtime allows the framework to do with that format.",Serving fleet and adjacent services that trust this artifact hash and revision pin.,No static blocker — confirm revision pinning and mirror policy.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,GREEN,2,ACCEPT_FORMAT_STATICALLY,No static hit on this file for current policy/drivers.,LLM03,,LLM03 (Supply chain vulnerabilities),artifact,Residual supply-chain / integrity focus for alternate frameworks.,NO (passed static gate in this demo),Not comparable to `trust_remote_code` directly — this row is about **artifact format choice** and supply-chain integrity for that format.,Keep revision pinning and mirror policy on the radar; escalate only if your runtime stack has known issues for this format class.
02_demo_config_risk,Same snapshot — demo tokenizer_config (trust_remote_code),EXEC_SUMMARY,(entire bundle),,aggregate_exit_code=1; schema=hf_bundle_scanner.bundle_report.v2,Hub snapshot hf-internal-testing/tiny-random-BertModel scanned with policy policy.permissive.json (fixture in repo). Verdict for CI-style static gate: HOLD_REVIEW_POLICY_OR_CONFIG.,"If HOLD: triage config_findings first, then per-file findings. If SHIP: still verify provenance, revision pin, and runtime controls outside this scanner.",,1,CRITICAL (remote code execution path on load),"If production loaders honor `trust_remote_code`, a malicious or compromised Hub revision (or dependency confusion) can execute **Python during model/tokenizer load**, before your application logic runs its usual checks. That is comparable to shipping an unreviewed install hook on the hot path: environment secrets, cloud metadata credentials, lateral movement to batch jobs, and silent persistence become plausible incident shapes.","**Typically:** the whole namespace or VM scale set running inference, shared images and caches, CI runners that materialize tokenizer files, and any secrets mounted into those workloads. **Regulatory / comms:** expands materially if the model touches regulated data — breach timelines and customer notification may enter scope even without proven exfiltration.",Static gate HOLD_REVIEW_POLICY_OR_CONFIG — treat as **undeclared RCE-class supply chain** on load until explicitly waived with hardened controls and owner sign-off.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,RED,5,STOP_SHIP,Do not ship to prod until resolved or formally waived with controls.,LLM03,LLM04,LLM03 (Supply chain vulnerabilities); LLM04 (Data and model poisoning),config,`trust_remote_code` maps to supply-chain / integrity (LLM03) and untrusted execution paths adjacent to poisoning (LLM04) in phase0 framing.,N/A (bundle rollup),Worst-case **static** loader signal in this repo’s **default** CI gate is `trust_remote_code` truthy (remote code class at load). Use the legend + per-row `default_ci_blocks_release` to separate **stop-the-line** items from **hygiene**.,"Read **YES** rows on `default_ci_blocks_release` first — those flip the bundle aggregate in default CI today. **NO** rows can still matter for audits and engineering backlog, but they are not the same incident class as remote code."
02_demo_config_risk,Same snapshot — demo tokenizer_config (trust_remote_code),CONFIG,tokenizer / loader config,/tmp/<ephemeral-hub-demo>/tokenizer_config.json,trust_remote_code_enabled: trust_remote_code is truthy ('True'); loading with trust_remote_code can execute Hub Python,Configlint: trust_remote_code is set truthy — loading may execute Hub-supplied Python.,"Treat like a code dependency change: review, pin revision, and require explicit approval.",HIGH,1,CRITICAL,Same as exec summary: trusted Hub Python may run at load time; secrets and lateral movement are in play if an adversary influences revision content or build caches.,"Inference/training hosts, mounted secrets, shared registries, CI artifact caches; customer/regulator exposure if regulated data is processed.",`trust_remote_code` truthy — **stop-the-line** for prod until removed or formally accepted with compensating controls.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,RED,5,STOP_SHIP,Do not ship to prod until resolved or formally waived with controls.,LLM03,LLM04,LLM03 (Supply chain vulnerabilities); LLM04 (Data and model poisoning),config,Configlint rule trust_remote_code_enabled (see taxonomy doc).,YES,This **is** the reference severe loader posture for this scanner’s default gate: it can enable **Hub-supplied Python** during load in typical stacks.,"Treat as a **security + legal** decision, not an ML hyperparameter tweak: require explicit waiver with compensating controls, revision pinning, and deny-by-default in production unless you run inside a tightly bounded sandbox."
02_demo_config_risk,Same snapshot — demo tokenizer_config (trust_remote_code),WEIGHT_FILE,weight-like artifact gate,onnx/model.onnx,exit_code=0; findings=0,"This file was scanned; policy + configured drivers did not raise a finding (for this demo, drivers are empty).",Still treat formats like .bin as higher deserialization risk in real threat models.,OK,0,LOW–MEDIUM (residual supply chain),"`onnx/model.onnx` passed this static gate; prod risk is mostly **integrity and supply chain** (wrong revision, poisoned mirror) plus whatever your runtime allows the framework to do with that format.",Serving fleet and adjacent services that trust this artifact hash and revision pin.,No static blocker — confirm revision pinning and mirror policy.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,GREEN,2,ACCEPT_FORMAT_STATICALLY,No static hit on this file for current policy/drivers.,LLM03,,LLM03 (Supply chain vulnerabilities),artifact,Residual supply-chain / integrity focus for alternate frameworks.,NO (passed static gate in this demo),Not comparable to `trust_remote_code` directly — this row is about **artifact format choice** and supply-chain integrity for that format.,Keep revision pinning and mirror policy on the radar; escalate only if your runtime stack has known issues for this format class.
02_demo_config_risk,Same snapshot — demo tokenizer_config (trust_remote_code),WEIGHT_FILE,weight-like artifact gate,pytorch_model.bin,exit_code=0; findings=0,"This file was scanned; policy + configured drivers did not raise a finding (for this demo, drivers are empty).",Still treat formats like .bin as higher deserialization risk in real threat models.,OK,0,MEDIUM (residual format risk),"`pytorch_model.bin` is a **pickle deserialization surface** in many stacks. With **benign** test weights the practical incident rate is low, but with **swapped** or **attacker-supplied** weights it becomes a classic high-impact deserialization bug class. Static scan did not prove malicious content here.",The inference/training process that deserializes this file; expands if weights live on shared storage or multi-tenant caches.,No static finding — leadership should still ask whether **.bin** is acceptable in **your** prod threat model.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,AMBER,3,WATCH_DESERIALIZATION,No static hit; treat `.bin` as higher inherent risk in threat model.,LLM03,LLM04,LLM03 (Supply chain vulnerabilities); LLM04 (Data and model poisoning),artifact,Pickle-era `.bin` weight surface — not a verdict of malicious content.,NO (passed static gate in this demo),"Not a config flag. Residual concern is **pickle deserialization class** if weights are ever swapped — different from `trust_remote_code`, but still material in strict threat models.","If leadership only skims one thing on `.bin`: ask whether your org allows pickle-era weights in prod **at all**; if not, plan conversion to safetensors even when static policy is permissive."
02_demo_config_risk,Same snapshot — demo tokenizer_config (trust_remote_code),WEIGHT_FILE,weight-like artifact gate,tf_model.h5,exit_code=0; findings=0,"This file was scanned; policy + configured drivers did not raise a finding (for this demo, drivers are empty).",Still treat formats like .bin as higher deserialization risk in real threat models.,OK,0,LOW–MEDIUM (residual supply chain),"`tf_model.h5` passed this static gate; prod risk is mostly **integrity and supply chain** (wrong revision, poisoned mirror) plus whatever your runtime allows the framework to do with that format.",Serving fleet and adjacent services that trust this artifact hash and revision pin.,No static blocker — confirm revision pinning and mirror policy.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,GREEN,2,ACCEPT_FORMAT_STATICALLY,No static hit on this file for current policy/drivers.,LLM03,,LLM03 (Supply chain vulnerabilities),artifact,Residual supply-chain / integrity focus for alternate frameworks.,NO (passed static gate in this demo),Not comparable to `trust_remote_code` directly — this row is about **artifact format choice** and supply-chain integrity for that format.,Keep revision pinning and mirror policy on the radar; escalate only if your runtime stack has known issues for this format class.
03_strict_safetensors_only,Same snapshot — safetensors-only policy (reject .bin/.onnx/.h5),EXEC_SUMMARY,(entire bundle),,aggregate_exit_code=1; schema=hf_bundle_scanner.bundle_report.v2,Hub snapshot hf-internal-testing/tiny-random-BertModel scanned with policy policy.safetensors-only.json (fixture in repo). Verdict for CI-style static gate: HOLD_REVIEW_POLICY_OR_CONFIG.,"If HOLD: triage config_findings first, then per-file findings. If SHIP: still verify provenance, revision pin, and runtime controls outside this scanner.",,1,HIGH (governance / policy breach; format risk),"If teams bypass this gate and deploy anyway, production would contain **file types your org explicitly banned** (here: `.onnx`, `.bin`, `.h5`). That weakens audit answers (“safetensors-only”), increases operational surprise, and raises the likelihood of **unsafe deserialization** incidents if weights ever become attacker-controlled or accidentally swapped.",**Compliance & procurement:** SOC2 / ISO evidence gaps and vendor questionnaires. **Operations:** downstream systems that assumed “no pickle weights” may behave incorrectly or open incident bridges. **Security:** incident blast follows the inference footprint and any shared artifact store where the disallowed files land.,Static gate HOLD_REVIEW_POLICY_OR_CONFIG — leadership question is: **waive with recorded risk acceptance** or **convert/remove blocked artifacts** before prod.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,AMBER,4,HOLD_WAIVE_OR_REMEDIATE,"Hold: convert artifacts, or executive waiver + recorded risk.",LLM03,,LLM03 (Supply chain vulnerabilities),provenance,Policy gate enforces provenance / format posture (RiskCategory.provenance); remediate artifacts or record executive waiver.,N/A (bundle rollup),Worst-case **static** loader signal in this repo’s **default** CI gate is `trust_remote_code` truthy (remote code class at load). Use the legend + per-row `default_ci_blocks_release` to separate **stop-the-line** items from **hygiene**.,"Read **YES** rows on `default_ci_blocks_release` first — those flip the bundle aggregate in default CI today. **NO** rows can still matter for audits and engineering backlog, but they are not the same incident class as remote code."
03_strict_safetensors_only,Same snapshot — safetensors-only policy (reject .bin/.onnx/.h5),FINDING,weight-like artifact gate,onnx/model.onnx,Policy violation — extension '.onnx' not in allowed_extensions,"Your admission policy rejected this file (extension, size, or hash allow-list).","If this format is intentional, update policy with an explicit exception and record why the risk is accepted; otherwise convert weights (e.g. safetensors) or drop the file.",HIGH,1,HIGH,"If `onnx/model.onnx` ships despite policy, you are **operating outside the signed control baseline** for file types. For `.onnx` specifically, deserialization and tooling surprises are the common technical concern; the business concern is **audit failure** and **unplanned incident response** when reality diverges from what security told auditors.","Release pipeline integrity, downstream “safetensors-only” consumers, and the security/compliance interface (evidence packs, customer DPA answers).",Blocked artifact `onnx/model.onnx` — waive only with **named executive risk acceptance**.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,AMBER,4,HOLD_WAIVE_OR_REMEDIATE,"Hold: convert artifacts, or executive waiver + recorded risk.",LLM03,,LLM03 (Supply chain vulnerabilities),provenance,Admission policy gate (rule_id=policy.gate_violation); category `provenance` in bundle finding.,YES (this artifact fails policy),"This is **governance / integrity** risk (disallowed formats), not the same statement as `trust_remote_code` unless your policy explicitly encodes that rule.",Leadership decision is **waive with recorded risk acceptance** vs **remediate** (convert weights / drop files). Pair with procurement and audit stakeholders if you claim “safetensors-only” externally.
03_strict_safetensors_only,Same snapshot — safetensors-only policy (reject .bin/.onnx/.h5),FINDING,weight-like artifact gate,pytorch_model.bin,Policy violation — extension '.bin' not in allowed_extensions,"Your admission policy rejected this file (extension, size, or hash allow-list).","If this format is intentional, update policy with an explicit exception and record why the risk is accepted; otherwise convert weights (e.g. safetensors) or drop the file.",HIGH,1,HIGH,"If `pytorch_model.bin` ships despite policy, you are **operating outside the signed control baseline** for file types. For `.bin` specifically, deserialization and tooling surprises are the common technical concern; the business concern is **audit failure** and **unplanned incident response** when reality diverges from what security told auditors.","Release pipeline integrity, downstream “safetensors-only” consumers, and the security/compliance interface (evidence packs, customer DPA answers).",Blocked artifact `pytorch_model.bin` — waive only with **named executive risk acceptance**.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,AMBER,4,HOLD_WAIVE_OR_REMEDIATE,"Hold: convert artifacts, or executive waiver + recorded risk.",LLM03,,LLM03 (Supply chain vulnerabilities),provenance,Admission policy gate (rule_id=policy.gate_violation); category `provenance` in bundle finding.,YES (this artifact fails policy),"This is **governance / integrity** risk (disallowed formats), not the same statement as `trust_remote_code` unless your policy explicitly encodes that rule.",Leadership decision is **waive with recorded risk acceptance** vs **remediate** (convert weights / drop files). Pair with procurement and audit stakeholders if you claim “safetensors-only” externally.
03_strict_safetensors_only,Same snapshot — safetensors-only policy (reject .bin/.onnx/.h5),FINDING,weight-like artifact gate,tf_model.h5,Policy violation — extension '.h5' not in allowed_extensions,"Your admission policy rejected this file (extension, size, or hash allow-list).","If this format is intentional, update policy with an explicit exception and record why the risk is accepted; otherwise convert weights (e.g. safetensors) or drop the file.",HIGH,1,HIGH,"If `tf_model.h5` ships despite policy, you are **operating outside the signed control baseline** for file types. For `.h5` specifically, deserialization and tooling surprises are the common technical concern; the business concern is **audit failure** and **unplanned incident response** when reality diverges from what security told auditors.","Release pipeline integrity, downstream “safetensors-only” consumers, and the security/compliance interface (evidence packs, customer DPA answers).",Blocked artifact `tf_model.h5` — waive only with **named executive risk acceptance**.,phase0,https://github.com/beejak/Argus/blob/main/docs/THREAT_MODEL_TAXONOMY.md,https://owasp.org/www-project-top-10-for-large-language-model-applications/,AMBER,4,HOLD_WAIVE_OR_REMEDIATE,"Hold: convert artifacts, or executive waiver + recorded risk.",LLM03,,LLM03 (Supply chain vulnerabilities),provenance,Admission policy gate (rule_id=policy.gate_violation); category `provenance` in bundle finding.,YES (this artifact fails policy),"This is **governance / integrity** risk (disallowed formats), not the same statement as `trust_remote_code` unless your policy explicitly encodes that rule.",Leadership decision is **waive with recorded risk acceptance** vs **remediate** (convert weights / drop files). Pair with procurement and audit stakeholders if you claim “safetensors-only” externally.
